Метод,Что делает
c.elements(),Список элементов в лексикографическом порядке
c.most_common([n]),Список элементов в порядке убывания встречаемости
c.substract([iterable or mapping]),Вычитание
sum(c.values()),Общее колчичество
c.clear(),Очистка Counter
list(c),Список уникальных эелементов
set(c),Преобразовать в множество
dict(c),Преобразовать в словарь
c.most_common()[:-(n+1):-1],n наименее часто встречающихся элементов
c += Counter(),"Удалить все элементы, встречающиеся менее одного раза"
