Метод,Что делает
list.append(x),Добавляет элемент в конец списка
list.extend(o),"Расширяет список, добавляя в конец элементы списка o"
"list.insert(i, x)",Вставляет на i-ю позицию значение х
list.remove(x),"Удаляет первый элемент в списке, имеющий значение х"
list.pop( [ i ] ),"Удаление i-го элемента с возвращением в качестве результата. Если индекс не указан, удаляет последний"
list.count(x),Возвращает количество х в списке
"list.sort([key = функция], [reverse=bool])",Сортирует список на основе функции и переворачивает при bool=true
list.reverse(),Разворачивает список
list.copy(),Поверхностная копия списка
list.clear(),Очищает список
